JCAT , SatcatLaunch_Tag Piece     , Type     , Name                        , PLName                      , LDate      , Parent      , SDate              , Primary, DDate              , Status Dest   , Owner       , State , Manufacturer, Bus              , Motor       , Mass     , DryMass   , TotMass  , Length, Diamete, Span   , Shape                    , ODate      , Perigee, Apogee, Inc   , OpOrbitOQU AltNames, STATUS, OBJECT_NAME             , OBJECT_ID , EPOCH                     , MEAN_MOTION, ECCENTRICITY, INCLINATION, RA_OF_ASC_NODE, ARG_OF_PERICENTER, MEAN_ANOMALY, EPHEMERIS_TYPE, CLASSIFICATION_TYPE, NORAD_CAT_ID, ELEMENT_SET_NO, REV_AT_EPOCH, BSTAR         , MEAN_MOTION_DOT, MEAN_MOTION_DDOT, LAST_UPDATED       , DATA_SOURCE               , TLE_LINE1                                                            , TLE_LINE2                                                            , N2YO_SAT_NAME              , TLE_FETCHED
26605, 26605 2000-071   2000-071A , P        , GPS IIR-6                   , GPS SVN 41                  , 2000 Nov 10, S26607      , 2000 Nov 10 1739   , Earth  , -                  , O      -      , AFSMC       , US    , LMMS        , Series 4000      , Star 37XFP  , 1077     , 910       , 2032     , 1.5   , 1.9    , 19.3   , Box + 2 Pan              , 2000 Nov 13, 20177  , 20498 , 55.06 , MEO    -   USA 154:, ACTIVE, NAVSTAR 49 (USA 154)    , 2000-071A , 2025-10-02T08:50:58.006752,  2.00552466, 0.016573    ,     55.4785,       105.1431,          263.6148,     262.0413,            0.0, U                  ,      26605.0,          999.0,      18234.0, 0.0           , 7e-07          , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 26605U 00071A   25275.36872693  .00000070  00000-0  00000+0 0  9998, 2 26605  55.4785 105.1431 0165730 263.6148 262.0413  2.00552466182348, NAVSTAR 49 (USA 154)       , YES
26702, 26702 2001-007   2001-007A , P        , Odin                        , Odin                        , 2001 Feb 20, S26703      , 2001 Feb 20 0904   , Earth  , -                  , O      -      , SSC         , S     , SAABSA      , Odin             , -           , 250      , 250       , 250      , 2.0   , 1.1    , 3.8    , Box + Plate + Ant        , 2001 Mar  2, 611    , 621   , 97.83 , LEO/S  -           , ACTIVE, ODIN                    , 2001-007A , 2025-10-03T01:54:05.242176, 15.46006421, 0.00048835  ,     97.4355,       302.0159,           51.4254,     308.7432,            0.0, U                  ,      26702.0,          999.0,      34939.0, 0.00082788809 , 0.00040472     , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 26702U 01007A   25277.50312500  .00037228  00000-0  75911-3 0  9992, 2 26702  97.4350 303.4763 0004751  47.6371 312.5280 15.46117807349612, ODIN                       , YES
26715, 26715 2001-009   2001-009A , P ------c, Milstar 4                   , Milstar DFS-4               , 2001 Feb 27, S26716      , 2001 Feb 28 0354?  , Earth  , -                  , O      GEO/S? , AFSMC       , US    , LMMS        , Milstar          , AOCS        , 4500     , 4200    ? , 4500     , 15.5  , 5.0  ? , 35.0   , Truss + Ant              , 2001 Feb 28, 35764  , 35768 , 4.50  , GEO/ID -   USA 157:, ACTIVE, USA 157 (MILSTAR-2 2)   , 2001-009A , 2025-10-03T10:38:00.803040,  1.00272995, 0.00438165  ,     11.2583,        21.2804,          181.8358,     178.729 ,            0.0, U                  ,      26715.0,          999.0,       3036.0, 0.0           , 1.17e-06       , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 26715U 01009A   25277.50578551  .00000117  00000-0  00000+0 0  9998, 2 26715  11.2596  21.2745 0043894 182.0196 202.1811  1.00273288 30383, USA 157                    , YES
26720, 26720 2001-011   2001-011B , P        , BSAT-2a                     , BSAT-2a                     , 2001 Mar  8, S26721      , 2001 Mar  8 2327   , Earth  , -                  , O      -      , BSAT        , J     , OSCD?       , OSC Star 1       , Star 30CBP  , 650      , 490       , 1317     , 3.8   , 2.5    , 16.1   , Box + 2 Pan              , 2001 Mar 13, 35703  , 36251 , 0.22  , GEO/D  -           , ACTIVE, BSAT-2A                 , 2001-011B , 2025-10-03T12:54:51.244704,  0.99178766, 0.00076222  ,     10.1853,        49.7881,          179.187 ,     183.085 ,            0.0, U                  ,      26720.0,          999.0,       8943.0, 0.0           , 1.7e-07        , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 26720U 01011B   25276.53809311  .00000017  00000-0  00000-0 0  9990, 2 26720  10.1853  49.7881 0007622 179.1870 183.0850  0.99178766 89436, BSAT-2A                    , YES
26766, 26766 2001-019   2001-019A , P      O , PAS 10                      , PAS 10                      , 2001 May 15, S26769      , 2001 May 15 0744   , Earth  , 2007 Feb           , N      -      , PAN         , US    , BOES        , HS-601HP         , R-4D-11-300 , 3772     , 2000    ? , 3772     , 6.0  ?, 2.3  ? , 26.0   , Box + 2 Pan              , 2002 Apr 30, 35769  , 35803 , 0.01  , GEO/S  -           , ACTIVE, INTELSAT 10 (IS-10)     , 2001-019A , 2025-10-03T10:36:34.619904,  0.99073872, 0.00042975  ,      8.4557,        61.8528,          188.37  ,       2.5852,            0.0, U                  ,      26766.0,          999.0,       4303.0, 0.0           , 3.4e-07        , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 26766U 01019A   25277.44028411  .00000053  00000-0  00000+0 0  9992, 2 26766   8.4583  61.8424 0004416 188.8807 358.1208  0.99073638 43040, INTELSAT 10 (PAS 10)       , YES
26857, 26857 2001-026   2001-026A , P        , ICO F2                      , ICO 2                       , 2001 Jun 19, S26858      , 2001 Jun 19 0633   , Earth  , 2012 May?          , N      -      , ICOH        , UK    , BOES        , HS-601M          , -           , 2700     , 2300    ? , 2700     , 4.7   , 2.3    , 26.4   , Box + 2 Pan              , 2001 Jun 29, 10103  , 10126 , 44.95 , MEO    -           , ACTIVE, OMNI-M1                 , 2001-026A , 2025-09-24T11:24:34.662816,  3.92402164, 0.00144109  ,     44.9549,       306.4421,          336.7061,      23.2765,            0.0, U                  ,      26857.0,          999.0,      19514.0, 0.0           , -4e-07         , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 26857U 01026A   25267.47540119 -.00000040  00000-0  00000-0 0  9995, 2 26857  44.9549 306.4421 0014411 336.7061  23.2765  3.92402164195148, ICO F2                     , YES
26880, 26880 2001-033   2001-033A , P       c, DSP F21                     , DSP 21?                     , 2001 Aug  6, S26883      , 2001 Aug  6 1422   , Earth  , -                  , O      GEO/S? , AFSMC       , US    , TRW         , DSP B18          , MRE-4       , 2360    ?, 2200    ? , 2360    ?, 10.0  , 3.3    , 11.5   , Cyl + 2 Pan              , 2001 Aug  7, 35780? , 35780?, 2.90? , GEO/S  -   USA 159:, ACTIVE, USA 159 (DSP 21)        , 2001-033A , 2025-10-02T03:54:38.498112,  1.00270846, 9.47e-05    ,     12.5411,        18.2033,          283.9257,      78.6285,            0.0, U                  ,      26880.0,          999.0,       3038.0, 0.0           , -2.9e-06       , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 26880U 01033A   25275.16294558 -.00000290  00000-0  00000+0 0  9993, 2 26880  12.5411  18.2033 0000947 283.9257  78.6285  1.00270846 30381, USA 159                    , YES
26900, 26900 2001-039   2001-039A , P      O , INTELSAT 902                , INTELSAT 902                , 2001 Aug 30, S26901      , 2001 Aug 30 0706   , Earth  , -                  , O      -      , INTELD      , US    , LOR         , FS-1300HL        , R-4D-11-164 , 4723     , 1978      , 4723     , 5.6   , 2.8    , 31.0   , Box + 2 Pan + 2 Dish     , 2002 Oct  4, 35776  , 35796 , 0.01  , GEO/S  -           , ACTIVE, INTELSAT 902 (IS-902)   , 2001-039A , 2025-09-29T07:40:38.690400,  1.00270404, 0.0004246   ,      5.4543,        74.9568,          114.6031,     243.841 ,            0.0, U                  ,      26900.0,          999.0,       8807.0, 0.0           , -2.78e-06      , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 26900U 01039A   25272.31989225 -.00000278  00000-0  00000-0 0  9995, 2 26900   5.4543  74.9568 0004246 114.6031 243.8410  1.00270404 88074, INTELSAT 902               , YES
26931, 26931 2001-043   2001-043C , P        , Navy-OSCAR-44               , PCSat                       , 2001 Sep 30, S26933      , 2001 Sep 30 0352   , Earth  , -                  , O      -      , USNA/AFSMC  , US    , USNA        , PCSat            , -           , 10    ?  , 10    ?   , 10    ?  , 0.2  ?, 0.2  ? , 0.7  ? , Box + Ant                , 2001 Sep 30, 790    , 801   , 67.06 , LEO/I  -   STP P97-, ACTIVE, PCSAT (NO-44)           , 2001-043C , 2025-10-03T04:27:41.637312, 14.31796759, 0.00070611  ,     67.051 ,       188.9244,          274.1858,      85.8437,            0.0, U                  ,      26931.0,          999.0,      25365.0, 0.00025333002 , 5.95e-06       , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 26931U 01043C   25277.44325491  .00000470  00000-0  20673-3 0  9996, 2 26931  67.0509 185.6733 0007079 274.0651  85.9642 14.31797814253831, PCSAT                      , YES
26958, 26958 2001-049   2001-049B , P        , PROBA                       , PROBA                       , 2001 Oct 22, S26960      , 2001 Oct 22 0520   , Earth  , -                  , O      -      , ESA         , I-ESA , VERSI       , MiniSIL          , -           , 94       , 94        , 94       , 0.6   , 0.8    , 0.8    , Box                      , 2001 Oct 24, 553    , 676   , 97.91 , LEO/S  -           , ACTIVE, PROBA-1                 , 2001-049B , 2025-10-03T14:32:54.619008, 15.0591966 , 0.00552326  ,     97.9571,       271.5071,          269.8841,      89.6055,            0.0, U                  ,      26958.0,          999.0,      30498.0, 0.00042145889 , 6.274e-05      , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 26958U 01049B   25277.46998287  .00005387  00000-0  36254-3 0  9996, 2 26958  97.9573 272.3986 0055191 266.8971  92.5939 15.05928195305111, PROBA 1                    , YES
26998, 26998 2001-055   2001-055B , P        , TIMED                       , TIMED                       , 2001 Dec  7, S26999      , 2001 Dec  7 1712   , Earth  , -                  , O      -      , GSFC        , US    , APL         , TIMED            , -           , 587      , 587       , 587      , 2.7   , 1.6    , 11.7   , Box + 2 Pan              , 2001 Dec 10, 626    , 628   , 74.08 , LEO/I  -           , ACTIVE, TIMED                   , 2001-055B , 2025-10-03T11:46:54.325920, 14.94335582, 0.00022295  ,     74.0709,        31.5394,          281.5505,      78.5428,            0.0, U                  ,      26998.0,          999.0,      29246.0, 0.00035496856 , 3.78e-05       , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 26998U 01055B   25276.49090655  .00003780  00000-0  35497-3 0  9994, 2 26998  74.0709  31.5394 0002230 281.5505  78.5428 14.94335582292462, TIMED                      , YES
27004, 27004 2001-056   2001-056D , P        , Zarkae Al Yamama            , Maroc-Tubsat                , 2001 Dec 10, S27006      , 2001 Dec 10 1737   , Earth  , -                  , O      -      , CRTS        , MA    , TUB         , TUBSAT           , -           , 45       , 45        , 45       , 0.3   , 0.4    , 0.4    , Box                      , 2001 Dec 11, 985    , 1014  , 99.65 , LEO/S  -   TUBSAT-6, ACTIVE, MAROC-TUBSAT            , 2001-056D , 2025-10-03T10:03:13.943232, 13.70248379, 0.0020595   ,     99.7902,        83.64  ,           81.0142,     332.7052,            0.0, U                  ,      27004.0,          999.0,      19102.0, 7.0037139e-05 , 1.5e-07        , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 27004U 01056D   25276.41891138  .00000015  00000-0  70037-4 0  9999, 2 27004  99.7902  83.6400 0020595  81.0142 332.7052 13.70248379191028, MAROC TUBSAT               , YES
27056, 27056 2001-058   2001-058B , P        , Kosmos-2385                 , Strela-3 No. 144L (844)     , 2001 Dec 28, S27061      , 2001 Dec 28 0408   , Earth  , -                  , O      -      , KVR         , RU    , NPOPMR      , Strela-3         , -           , 225      , 225       , 225      , 1.6   , 0.8    , 7.0  ? , Cyl + Ant                , 2002 Jan  9, 1416   , 1417  , 82.54 , LEO/I  -   Strela-3, ACTIVE, COSMOS 2385             , 2001-058B , 2025-10-03T15:04:30.787104, 12.6055824 , 0.00072099  ,     82.5418,        23.9323,           95.5257,      34.171 ,            0.0, U                  ,      27056.0,          999.0,       9345.0, 6.2951675e-05 , 2.2e-07        , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 27056U 01058B   25277.55424442  .00000015  00000-0  23511-4 0  9999, 2 27056  82.5419  23.3403 0007206  93.7719 276.5327 12.60558230 93575, COSMOS 2385                , YES
27057, 27057 2001-058   2001-058C , P        , Kosmos-2386                 , Strela-3 No. 145L (845)     , 2001 Dec 28, S27061      , 2001 Dec 28 0408   , Earth  , -                  , O      -      , KVR         , RU    , NPOPMR      , Strela-3         , -           , 225      , 225       , 225      , 1.6   , 0.8    , 7.0  ? , Cyl + Ant                , 2002 Jan  4, 1404   , 1417  , 82.54 , LEO/I  -   Strela-3, ACTIVE, COSMOS 2386             , 2001-058C , 2025-10-03T13:04:55.870176, 12.6160912 , 7.502e-05   ,     82.5493,        18.4737,          106.1922,     253.9251,            0.0, U                  ,      27057.0,          999.0,       9414.0, 5.2537306e-05 , 2e-07          , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 27057U 01058C   25276.54509109  .00000020  00000-0  52537-4 0  9998, 2 27057  82.5493  18.4737 0000750 106.1922 253.9251 12.61609120 94140, COSMOS 2386                , YES
27168, 27168 2002-001   2002-001A , P ------c, Milstar 5                   , Milstar DFS-5               , 2002 Jan 16, S27169      , 2002 Jan 16 0705   , Earth  , -                  , O      -      , AFSMC       , US    , LMMS        , Milstar          , AOCS        , 4500     , 4200    ? , 4500     , 15.5  , 5.0  ? , 35.0   , Truss + Ant              , 2006 Jan 18, 35758  , 35815 , 1.70  , GEO/S  -   USA 164:, ACTIVE, USA 164 (MILSTAR-2 3)   , 2002-001A , 2025-10-03T12:01:33.971232,  1.00277317, 0.00965668  ,     10.871 ,        23.3837,            5.9615,     182.5569,            0.0, U                  ,      27168.0,          999.0,       3038.0, 0.0           , 1.06e-06       , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 27168U 02001A   25277.50018064  .00000106  00000-0  00000+0 0  9990, 2 27168  10.8724  23.3785 0096483   5.9209 183.2796  1.00277580 30392, USA 164                    , YES
27380, 27380 2002-007   2002-007A , P      O , INTELSAT 904                , INTELSAT 904                , 2002 Feb 23, S27381      , 2002 Feb 23 0720   , Earth  , -                  , O      -      , INTELD      , US    , LOR         , FS-1300HL        , R-4D-11-164 , 4680     , 2350      , 4680     , 5.6   , 2.8    , 31.0   , Box + 2 Pan + 2 Dish     , 2003 Feb  7, 35758  , 35813 , 0.01  , GEO/S  -           , ACTIVE, INTELSAT 904 (IS-904)   , 2002-007A , 2025-10-03T06:39:57.311424,  1.00271312, 0.00027338  ,      6.272 ,        72.2501,           86.8378,     285.6539,            0.0, U                  ,      27380.0,          999.0,       4919.0, 0.0           , -1.98e-06      , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 27380U 02007A   25277.27683007 -.00000198  00000-0  00000+0 0  9993, 2 27380   6.2749  72.2391 0003946 106.6904 266.4633  1.00266031 49206, INTELSAT 904               , YES
27424, 27424 2002-022   2002-022A , P        , Aqua                        , EOS PM-1                    , 2002 May  4, S27425      , 2002 May  4 1054   , Earth  , -                  , O      -      , GSFC        , US    , TRW         , T-330            , AOCS        , 3078     , 2976      , 3078     , 6.7   , 2.5    , 17.0   , Box + Pan                , 2002 May 14, 673    , 686   , 98.18 , LEO/S  -   NAIF154 , ACTIVE, AQUA                    , 2002-022A , 2025-10-03T14:12:11.263392, 14.61557436, 0.0002062   ,     98.3908,       236.3864,           75.341 ,     345.9696,            0.0, U                  ,      27424.0,          999.0,      24578.0, 0.00057287201 , 2.796e-05      , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 27424U 02022A   25277.49113066  .00002328  00000-0  47868-3 0  9999, 2 27424  98.3910 237.2989 0002043  74.2480  36.2128 14.61561035245910, AQUA                       , YES
27426, 27426 2002-023   2002-023A , P        , DirecTV 5                   , DirecTV-5                   , 2002 May  7, S27429      , 2002 May  7 2332   , Earth  , 2017 Jun 12        , N      -      , DTV         , US    , LOR         , FS-1300          , R-4D-11-164 , 3640     , 2000    ? , 3640     , 5.6  ?, 2.8  ? , 31.0  ?, Box + 2 Pan              , 2003 Jul  5, 35775  , 35797 , 0.01  , GEO/S  -           , ACTIVE, DIRECTV 5 (TEMPO 1)     , 2002-023A , 2025-10-03T13:07:27.535872,  1.00271803, 0.00034452  ,      4.2159,        78.5059,          125.4494,     255.3173,            0.0, U                  ,      27426.0,          999.0,       8555.0, 0.0           , -5.3e-07       , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 27426U 02023A   25277.46745229 -.00000052  00000-0  00000+0 0  9997, 2 27426   4.2183  78.4935 0003505 127.8376 225.2671  1.00271711 85552, DIRECTV 5 (TEMPO 1)        , YES
27438, 27438 2002-027   2002-027A , P      O , INTELSAT 905                , INTELSAT 905                , 2002 Jun  5, S27439      , 2002 Jun  5 0704   , Earth  , -                  , O      -      , INTELD      , US    , LOR         , FS-1300HL        , R-4D-15-260 , 4723     , 1984      , 4723     , 5.6   , 2.8    , 31.0   , Box + 2 Pan + 2 Dish     , 2003 Jun 28, 35778  , 35794 , 0.03  , GEO/S  -           , ACTIVE, INTELSAT 905 (IS-905)   , 2002-027A , 2025-10-03T12:59:43.277568,  1.00271335, 0.00024815  ,      6.1025,        72.8772,          106.9125,     250.4605,            0.0, U                  ,      27438.0,          999.0,       4878.0, 0.0           , 1e-06          , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 27438U 02027A   25277.51871765  .00000101  00000-0  00000+0 0  9999, 2 27438   6.1051  72.8647 0002483 110.1504 240.0053  1.00271565 48791, INTELSAT 905               , YES
27445, 27445 2002-030   2002-030A , P      O , Galaxy 3C                   , Galaxy III-C                , 2002 Jun 15, S27446      , 2002 Jun 15 2341   , Earth  , 2006 Jul  3        , N      -      , PAN         , US    , BOES        , BSS-702HP        , R-4D-11-300 , 4850     , 2000    ? , 4850     , 7.0  ?, 3.3    , 47.8   , Box + 2 Pan              , 2003 Jun 22, 35785  , 35788 , 0.05  , GEO/S  -           , ACTIVE, GALAXY 3C (G-3C)        , 2002-030A , 2025-10-03T13:11:49.618176,  1.00271386, 0.00019701  ,      3.0781,        81.2359,           62.0463,     332.3594,            0.0, U                  ,      27445.0,          999.0,       4392.0, 0.0           , -1.49e-06      , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 27445U 02030A   25276.54987984 -.00000149  00000-0  00000-0 0  9998, 2 27445   3.0781  81.2359 0001970  62.0463 332.3594  1.00271386 43924, GALAXY 3C                  , YES
27464, 27464 2002-036   2002-036A , P        , Kosmos-2390                 , Strela-3 No. 137L (437)     , 2002 Jul  8, S27466      , 2002 Jul  8 0730?  , Earth  , -                  , O      -      , KVR         , RU    , NPOPMR      , Strela-3         , -           , 225      , 225       , 225      , 1.6   , 0.8    , 7.0  ? , Cyl + Ant                , 2002 Jul 17, 1468   , 1507  , 82.48 , LEO/I  -   Strela-3, ACTIVE, COSMOS 2390             , 2002-036A , 2025-10-03T14:43:31.299744, 12.44616162, 0.00261663  ,     82.4836,       145.403 ,           98.8593,     261.5452,            0.0, U                  ,      27464.0,          999.0,       5575.0, 0.00025603405 , 4.6e-07        , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 27464U 02036A   25277.57818068  .00000052  00000-0  29194-3 0  9995, 2 27464  82.4834 144.8000 0026181  96.8270 263.5791 12.44616214 55870, COSMOS 2390                , YES
27465, 27465 2002-036   2002-036B , P        , Kosmos-2391                 , Strela-3 No. 150L (450)     , 2002 Jul  8, S27466      , 2002 Jul  8 0730?  , Earth  , -                  , O      -      , KVR         , RU    , NPOPMR      , Strela-3         , -           , 225      , 225       , 225      , 1.6   , 0.8    , 7.0  ? , Cyl + Ant                , 2002 Jul 18, 1468   , 1509  , 82.49 , LEO/I  -   Strela-3, ACTIVE, COSMOS 2391             , 2002-036B , 2025-10-03T14:47:25.884384, 12.44938419, 0.0027084   ,     82.4827,       142.0403,           93.5141,     266.9038,            0.0, U                  ,      27465.0,          999.0,       5592.0, 0.00016287593 , 3.3e-07        , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 27465U 02036B   25277.58064601  .00000041  00000-0  21500-3 0  9994, 2 27465  82.4825 141.4370 0027093  91.4841 268.9343 12.44938454 56047, COSMOS 2391                , YES
27513, 27513 2002-041   2002-041A , P      O , INTELSAT 906                , INTELSAT 906                , 2002 Sep  6, S27514      , 2002 Sep  6 0705   , Earth  , -                  , O      -      , INTELD      , US    , LOR         , FS-1300HL        , R-4D-15-260 , 4723     , 1955      , 4723     , 5.6   , 2.8    , 31.0   , Box + 2 Pan + 2 Dish     , 2003 Oct 24, 35776  , 35797 , 0.01  , GEO/S  -           , ACTIVE, INTELSAT 906 (IS-906)   , 2002-041A , 2025-10-03T13:56:52.797696,  1.00271326, 0.00036378  ,      5.1471,        76.0734,          150.2212,      59.604 ,            0.0, U                  ,      27513.0,          999.0,       8445.0, 0.0           , 1.8e-07        , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 27513U 02041A   25277.50910734  .00000019  00000-0  00000+0 0  9996, 2 27513   5.1494  76.0617 0003676 151.5587  33.2503  1.00271513 84462, INTELSAT 906               , YES
27606, 27606 2002-058   2002-058B , P        , Latinsat-B                  , Latinsat-B                  , 2002 Dec 20, S27610      , 2002 Dec 20 1715   , Earth  , -                  , O      -      , APRZ        , US    , SPQ         , Aprize           , -           , 11       , 11        , 11       , 0.2   , 0.2    , 0.2    , Box + Ant                , 2002 Dec 29, 631    , 702   , 64.56 , LEO/I  -   Aprizesa, ACTIVE, LATINSAT B              , 2002-058B , 2025-10-03T12:01:53.829408, 14.76382803, 0.00747726  ,     64.5564,       316.9922,          321.5003,      38.0779,            0.0, U                  ,      27606.0,          999.0,      22419.0, 0.00031481093 , 2.149e-05      , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 27606U 02058B   25277.51736588  .00001765  00000-0  26227-3 0  9993, 2 27606  64.5561 313.8817 0074876 321.2806  38.2942 14.76386180224342, LATINSAT B                 , YES
27607, 27607 2002-058   2002-058C , P        , Saudi-OSCAR-50              , Saudisat 1C                 , 2002 Dec 20, S27610      , 2002 Dec 20 1715   , Earth  , -                  , O      -      , KACST       , SA    , KACST       , Saudisat         , -           , 15       , 15        , 15       , 0.2   , 0.2    , 0.2    , Box                      , 2002 Dec 27, 633    , 690   , 64.56 , LEO/I  -   SO-50   , ACTIVE, SAUDISAT 1C (SO-50)     , 2002-058C , 2025-10-03T05:32:23.397504, 14.82021927, 0.00675437  ,     64.5535,       203.4525,          309.9404,      49.5779,            0.0, U                  ,      27607.0,          999.0,      22636.0, 0.00058109806 , 4.665e-05      , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 27607U 02058C   25276.23082636  .00004665  00000-0  58110-3 0  9998, 2 27607  64.5535 203.4525 0067544 309.9404  49.5779 14.82021927226364, SAUDISAT 1C                , YES
27612, 27612 2002-058   2002-058H , P        , Latinsat-A                  , Latinsat-A                  , 2002 Dec 20, S27610      , 2002 Dec 20 1715   , Earth  , -                  , O      -      , APRZ        , US    , SPQ         , Aprize           , -           , 11       , 11        , 11       , 0.2   , 0.2    , 0.2    , Box + Ant                , 2002 Dec 27, 638    , 645   , 64.55 , LEO/I  -   Aprizesa, ACTIVE, LATINSAT A              , 2002-058H , 2025-10-03T11:10:13.069056, 14.84656203, 0.00557273  ,     64.5567,        38.4163,          286.4581,      73.0406,            0.0, U                  ,      27612.0,          999.0,      22950.0, 0.00039585063 , 3.3e-05        , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 27612U 02058H   25277.47581659  .00002599  00000-0  31562-3 0  9996, 2 27612  64.5570  35.2827 0055769 286.3194  73.1784 14.84660688229654, LATINSAT A                 , YES
27632, 27632 2002-062   2002-062A , P        , Nimiq 2                     , Nimiq 2                     , 2002 Dec 29, S27633      , 2002 Dec 30 0610   , Earth  , -                  , O      -      , TCAN        , CA    , LMCSS       , A2100AX          , Leros 1C    , 3600     , 1500    ? , 3600     , 4.5  ?, 1.8    , 21.0  ?, Box + 2 Pan              , 2004 Jan 15, 35776  , 35797 , 0.01  , GEO/S  -           , ACTIVE, NIMIQ 2                 , 2002-062A , 2025-10-03T11:24:59.976288,  1.002728  , 0.00057336  ,      8.8467,        59.5377,          137.3798,     237.6121,            0.0, U                  ,      27632.0,          999.0,       4161.0, 0.0           , -6.2e-07       , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 27632U 02062A   25277.46891007 -.00000061  00000-0  00000+0 0  9995, 2 27632   8.8492  59.5284 0005748 139.0449 234.4925  1.00271978 41627, NIMIQ 2                    , YES
27640, 27640 2003-001   2003-001A , P        , Coriolis                    , STP P98-2                   , 2003 Jan  6, S27641      , 2003 Jan  6 1517   , Earth  , -                  , O      -      , AFSMC       , US    , SPA         , SA-200HP         , AOCS        , 827      , 745       , 827      , 4.7   , 1.3    , 10.0  ?, Box + Pan + Dish         , 2003 Jan 10, 391    , 846   , 98.72 , LEO/S  -   Coriolis, ACTIVE, CORIOLIS                , 2003-001A , 2025-10-03T11:37:44.849568, 14.1983405 , 0.00131544  ,     98.7165,       282.3044,          229.5465,     130.4565,            0.0, U                  ,      27640.0,          999.0,      17779.0, 0.00020031888 , 3.81e-06       , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 27640U 03001A   25277.47113402  .00000321  00000-0  17170-3 0  9993, 2 27640  98.7165 283.2760 0013194 226.4926 133.5155 14.19834572177938, CORIOLIS                   , YES
27651, 27651 2003-004   2003-004A , P        , SORCE                       , SORCE                       , 2003 Jan 25, S27652      , 2003 Jan 25 2024   , Earth  , -                  , O      -      , GSFC        , US    , OSCD        , Leostar-2        , -           , 290      , 290       , 290      , 1.6   , 1.2    , 4.0  ? , Cyl + 6 Pan              , 2003 Feb  1, 610    , 649   , 39.99 , LEO/I  -           , ACTIVE, SORCE                   , 2003-004A , 2025-10-03T10:03:04.301856, 15.0145595 , 0.00165865  ,     39.9913,       284.4645,          358.5141,       1.5601,            0.0, U                  ,      27651.0,          999.0,      23326.0, 0.00064988028 , 8.429e-05      , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 27651U 03004A   25276.41879979  .00008429  00000-0  64988-3 0  9995, 2 27651  39.9913 284.4645 0016587 358.5141   1.5601 15.01455950233268, SORCE                      , YES
27663, 27663 2003-005   2003-005A , P        , GPS IIR-8                   , GPS SVN 56                  , 2003 Jan 29, S27666      , 2003 Jan 29 1914   , Earth  , -                  , O      -      , AFSMC       , US    , LMMS        , Series 4000      , Star 37XFP  , 1077     , 910       , 2032     , 1.5   , 1.9    , 19.3   , Box + 2 Pan              , 2003 Feb  1, 20155  , 20344 , 55.06 , MEO    -   USA 166:, ACTIVE, NAVSTAR 51 (USA 166)    , 2003-005A , 2025-10-02T20:36:33.410592,  2.00574749, 0.01442057  ,     54.9454,       225.195 ,           50.8544,     320.3665,            0.0, U                  ,      27663.0,          999.0,      16615.0, 0.0           , 5e-08          , 0.0             , 2025-10-04 23:19:22, planet4589.org + Celestrak, 1 27663U 03005A   25275.85872003  .00000005  00000-0  00000-0 0  9991, 2 27663  54.9454 225.1950 0144206  50.8544 320.3665  2.00574749166156, NAVSTAR 51 (USA 166)       , YES
